100	10.800000
600	12.640000
1100	12.741818
1600	11.895000
2100	12.594286
2600	12.443077
3100	12.658065
3600	12.400000
4100	12.608780
4600	12.584348
5100	12.254118
5600	12.621429
6100	12.523279
6600	12.574545
7100	12.578028
7600	12.590526
8100	12.595556
8600	12.588837
9100	12.661978
9600	12.727500
10100	12.489505
10600	12.575094
11100	12.627027
11600	12.697241
12100	12.680331
12600	12.539048
13100	12.448855
13600	12.504706
14100	12.560000
14600	12.475068
15100	12.553113
15600	12.556923
16100	12.541118
16600	12.637590
17100	12.422456
17600	12.594545
18100	12.662983
18600	12.548387
19100	12.600628
19600	12.624490
20100	12.594627
20600	12.591845
21100	12.577820
21600	12.573333
22100	12.439819
22600	12.459823
23100	12.528831
23600	12.604068
24100	12.580581
24600	12.625366
25100	12.548845
25600	12.606562
26100	12.588506
26600	12.487218
27100	12.609299
27600	12.650435
28100	12.550036
28600	12.494266
29100	12.400000
29600	12.480000
